sitename,NO2,NO,CO,O31,O38,ssr,tp,u10,v10,d2m,t2m,sp,tcc,blh,wd,ws,NOx,FAC1_1,FAC2_1
DSL,30.67826087,20.90666667,0.64,6.066666667,3.908333333,190412.0,1.2e-05,-1.0078511,0.5795988,280.53687,9.82455,103037.72,1.0000076,192.80798,119.9025084,1.162625739,51.58492754,-2.21568,1.21456
DSL,30.19130435,17.17333333,0.64,8.866666667,4.2,438426.0,6.03e-06,-1.0258387,0.9604149,280.70493,10.7261,102966.39,0.9895395,298.41858,133.113457,1.405255072,47.36463768,-1.99906,1.0619
DSL,31.16521739,17.17333333,0.64,10.26666667,4.958333333,435626.0,0.0,-0.67957693,1.3295137,280.7714,11.14288,102892.33,0.9702362,392.92017,152.9262897,1.493128086,48.33855072,-1.99355,1.12148
DSL,28.24347826,11.2,0.64,13.06666667,6.358333333,514031.0,2e-06,-0.42700067,1.5941321,280.7538,11.55767,102814.086,0.99459046,413.68042,165.0048873,1.650329278,39.44347826,-1.66158,0.87583
DSL,28.24347826,5.973333333,0.64,16.8,7.933333333,355221.0,2.01e-06,-0.34080994,1.3426957,280.8279,11.6133,102779.484,0.9629573,432.63098,165.7576699,1.385273676,34.21681159,-1.44871,0.91529
DSL,35.54782609,10.45333333,0.64,11.2,9.1,337620.0,0.0,0.86586,-0.5638261,279.747,10.75424,102752.766,0.9212071,465.30444,303.0711558,1.033253798,46.00115942,-2.02588,1.73197
DSL,41.39130435,1.244444444,0.64,5.133333333,9.508333333,313619.0,0.0,0.75418687,-0.8279563,279.6538,10.8275,102781.54,0.9692595,274.29053,317.6695549,1.119959584,42.63574879,-2.02825,1.5845
DSL,35.54782609,1.493333333,0.64,7.466666667,9.858333333,57204.0,0.0,1.15666,-0.68832374,279.89444,10.25634,102816.34,0.9821081,138.21814,300.7567077,1.345976198,37.04115942,-1.83093,1.27927
DSL,36.52173913,11.57333333,1.28,2.333333333,2.275,134408.0,0.000198819,1.2102481,-0.8069626,281.5521,9.3103,102859.72,1.0000076,148.82446,303.6943456,1.454609604,48.09507246,-2.29138,1.45186
DSL,37.00869565,12.44444444,1.2,1.866666667,2.333333333,114007.0,0.000218891,0.69460285,-1.0832984,281.7484,9.38552,102786.06,1.0000076,179.33643,327.3323103,1.286859955,49.4531401,-2.35535,1.64059
