sitename,NO2,NO,CO,O31,O38,ssr,tp,u10,v10,d2m,t2m,sp,tcc,blh,wd,ws,NOx,FAC1_1,FAC2_1
PDHN,9.739130435,6.72,0.4,31.26666667,14.99166667,1049263.0,0.0,-2.1957839,-0.5828669,272.3456,7.29385,103483.266,0.26716515,826.87384,75.13378029,2.271827625,16.45913043,-0.74018,0.29651
PDHN,9.739130435,5.226666667,0.4,32.2,16.8,1350081.0,0.0,-2.2853475,-0.048259623,272.3143,7.95333,103419.414,0.22987068,854.57086,88.79026633,2.285856992,14.9657971,-0.66364,0.3176
PDHN,8.27826087,2.986666667,0.4,35.0,19.775,1592495.0,0.0,-2.2658608,0.018627316,272.81158,8.36355,103301.77,0.1304391,865.2777,90.47100976,2.265937365,11.26492754,-0.4491,0.28488
PDHN,10.22608696,2.986666667,0.4,33.6,22.86666667,1494889.5,0.0,-2.3565485,0.17046556,273.24167,8.57882,103218.59,0.14914736,865.0766,94.13739619,2.362705936,13.21275362,-0.54957,0.29776
PDHN,13.14782609,5.973333333,0.4,31.73333333,26.36666667,1498890.0,0.0,-2.533052,0.46047172,273.58313,8.81826,103178.79,0.0990043,850.75055,100.303025,2.57456533,19.12115942,-0.82195,0.3791
PDHN,13.63478261,2.986666667,0.4,32.2,29.75,1140467.5,0.0,-2.907045,0.9306332,273.9009,8.87716,103131.1,0.023362458,826.6225,107.7514438,3.052374287,16.62144928,-0.72011,0.1806
PDHN,12.17391304,2.24,0.4,32.66666667,32.25833333,676841.0,0.0,-3.2360685,1.0717304,273.97882,8.62002,103067.8,0.02044788,789.4753,108.3239853,3.40892144,14.41391304,-0.63083,0.0048
PDHN,18.50434783,1.493333333,0.4,23.33333333,31.5,162810.0,0.0,-3.2319462,1.079542,274.28516,8.08877,103091.3,0.043596685,679.34064,108.4704672,3.40747519,19.99768116,-1.04652,-0.00969
PDHN,12.17391304,2.986666667,0.56,24.73333333,26.71666667,181611.0,0.000138566,-2.9846165,1.9915478,281.25342,11.188,103050.734,1.0000076,442.63416,123.7140294,3.588063307,15.16057971,-0.71083,-0.05442
PDHN,11.68695652,2.986666667,0.56,27.06666667,26.01666667,338020.0,0.000106432,-3.0501964,1.9368665,281.5116,11.48376,102976.4,0.9959638,399.2036,122.4154374,3.613191099,14.67362319,-0.63267,-0.03276
PDHN,12.17391304,3.733333333,0.56,28.93333333,25.725,463628.0,2.21e-05,-3.082799,2.0706406,281.6323,11.7677,102890.34,0.9804753,359.19116,123.8882909,3.713650787,15.90724638,-0.63848,0.00938
PDHN,13.14782609,3.733333333,0.56,28.93333333,25.66666667,467628.0,1.61e-05,-2.7462804,2.4983263,281.5895,11.96398,102812.1,0.989509,338.88342,132.2931902,3.712639268,16.88115942,-0.6884,0.06165
PDHN,13.63478261,2.986666667,0.56,28.93333333,25.725,356821.0,2.81e-05,-2.3415587,2.2195494,281.8416,11.93585,102788.46,0.9723267,254.88745,133.4677076,3.226344167,16.62144928,-0.68904,0.21711
PDHN,16.06956522,2.986666667,0.56,27.06666667,26.30833333,467628.0,3.01e-05,0.15010238,1.1063944,281.60785,11.7677,102738.79,0.9420974,171.54504,187.7260362,1.116530023,19.05623188,-0.98684,1.07362
PDHN,18.50434783,1.493333333,0.56,22.86666667,26.48333333,178411.0,4.42e-05,0.012946725,0.47658315,281.55286,11.51843,102758.59,0.9519399,83.176025,181.5560985,0.476758971,19.99768116,-1.10526,1.22029
PDHN,29.70434783,3.733333333,0.64,9.333333333,24.73333333,51203.0,5.22e-05,0.05829051,0.25688154,281.55057,11.25018,102788.39,0.9767367,45.928223,192.7848249,0.263412052,33.43768116,-1.92981,1.45424
