sitename,NO2,NO,CO,O31,O38,ssr,tp,u10,v10,d2m,t2m,sp,tcc,blh,wd,ws,NOx,FAC1_1,FAC2_1
PT,17.53043478,8.213333333,0.32,28.0,12.775,1225674.0,0.0,-2.0035412,-0.7615576,272.74054,6.5951,103451.27,0.03651622,680.09467,69.18791293,2.143396211,25.74376812,-1.05229,-0.03433
PT,15.09565217,5.973333333,0.32,31.73333333,15.05,1536492.0,0.0,-2.2549932,0.12359586,272.37845,7.73025,103381.45,0.06158775,840.094,93.13723458,2.258377796,21.06898551,-0.80424,-0.06302
PT,15.09565217,3.733333333,0.32,33.13333333,18.2,1786906.5,0.0,-2.0597525,0.4023728,272.26465,8.55853,103254.77,0.12863848,938.1646,101.0535306,2.098686311,18.82898551,-0.6879,0.01663
PT,15.09565217,5.226666667,0.32,33.6,21.58333333,1608096.5,0.0,-2.006914,0.5356585,272.45868,8.95437,103162.62,0.11995575,988.23035,104.9442484,2.077169669,20.32231884,-0.71476,0.08968
PT,15.5826087,3.733333333,0.24,35.0,25.55,1520491.0,0.0,-2.134701,0.7451074,272.7375,9.29852,103113.766,0.068546146,974.90967,109.2413021,2.261002741,19.31594203,-0.63621,0.01937
PT,17.53043478,3.733333333,0.24,33.13333333,29.10833333,1142068.0,0.0,-2.410886,1.1718167,273.63507,9.3443,103059.164,0.02986306,929.1166,115.9221762,2.680583086,21.26376812,-0.70843,-0.12972
PT,22.4,2.986666667,0.32,26.13333333,30.56666667,673240.0,0.0,-2.5915117,1.1156708,273.60834,8.85427,103000.79,0.030076683,815.91565,113.2923444,2.821463136,25.38666667,-0.968,-0.19993
PT,21.42608696,1.493333333,0.32,27.53333333,31.03333333,165210.0,0.0,-2.4135094,0.7621952,274.0934,7.585,103033.336,0.14826232,282.28296,107.5263096,2.531001609,22.91942029,-0.9376,-0.16344
PT,35.06086957,11.94666667,0.56,12.6,17.55833333,156009.0,3.01e-05,-1.7970583,0.7700069,281.21063,10.24456,102999.76,1.0000076,325.81396,113.1942553,1.955077789,47.00753623,-1.87282,0.59728
PT,33.6,11.94666667,0.48,14.93333333,16.15833333,322819.0,2.01e-05,-1.9203485,0.90866303,281.57578,11.048,102924.4,0.99164534,448.96777,115.3223942,2.124478021,45.54666667,-1.74128,0.54285
PT,31.16521739,8.213333333,0.48,17.73333333,15.63333333,418025.0,6.02e-06,-1.9109799,1.3900536,281.6132,11.63357,102841.36,0.9847022,537.94006,126.0322763,2.363068596,39.37855072,-1.46556,0.36212
PT,33.11304348,5.973333333,0.48,15.86666667,14.58333333,467628.0,8.03e-06,-1.6138093,2.2756953,281.22208,12.14193,102764.14,0.99962616,579.10864,144.6576406,2.789833249,39.08637681,-1.45563,0.19806
PT,34.57391304,3.733333333,0.48,14.93333333,14.175,322420.0,8.03e-06,-1.2233279,1.682501,281.3848,12.19558,102733.445,0.98334414,524.6194,143.9795139,2.080226133,38.30724638,-1.48623,0.4909
PT,45.77391304,4.853333333,0.56,3.733333333,12.71666667,360421.0,2.01e-06,0.43040958,0.4228783,280.2038,11.682,102694.805,0.96051574,444.64478,225.5056902,0.603389147,50.62724638,-2.26398,1.50334
PT,48.20869565,2.986666667,0.64,1.866666667,11.49166667,198012.0,0.0,0.2707694,-0.15029882,280.20074,11.5047,102716.59,0.9130889,161.34094,299.0338017,0.309686621,51.19536232,-2.41396,1.79687
PT,47.72173913,1.866666667,0.72,1.866666667,10.44166667,48003.0,0.0,0.4869956,-0.5047508,280.6209,10.97277,102749.34,0.9792546,60.304565,316.0256547,0.70138298,49.5884058,-2.3807,1.60349
PT,34.57391304,8.586666667,0.96,1.866666667,1.633333333,159610.0,5.02e-05,0.58517814,-0.45348707,281.85077,10.2112,102786.75,1.0000076,140.73157,307.7740945,0.74032694,43.16057971,-2.19939,1.38698
PT,35.06086957,7.84,0.96,1.866666667,1.691666667,119207.0,9.24e-05,0.74444354,-0.8616439,282.05856,10.19027,102727.07,1.0000076,185.16736,319.1736237,1.13869504,42.90086957,-2.17919,1.22574
PT,34.57391304,6.471111111,0.88,1.866666667,1.75,145209.0,0.000104427,0.13286424,-1.0769515,282.24265,10.27206,102591.89,1.0000076,192.75769,352.9669189,1.085116325,41.04502415,-2.15327,1.28773
PT,35.06086957,5.6,0.88,1.4,1.75,117607.0,9.24e-05,0.002453923,-1.2165841,282.32593,10.3028,102530.09,1.0000076,224.92847,359.8844311,1.216586575,40.66086957,-2.14612,1.23028
